entity_count,operation,sample,calls,elapsed_ticks,microseconds_per_call,managed_bytes,managed_bytes_per_call
10000,Find.uniform,14,8,51959,649.4875,0,0
10000,Find.uniform,15,8,51491,643.6375,0,0
10000,Find.uniform,16,8,50968,637.1,0,0
10000,Find.uniform,17,8,53650,670.625,0,0
10000,Find.uniform,18,8,53495,668.6875,0,0
10000,Find.uniform,19,8,52525,656.5625,0,0
10000,Find.uniform,20,8,52604,657.55,0,0
10000,Find.uniform,21,8,51067,638.3375,0,0
10000,Find.uniform,22,8,52052,650.65,0,0
10000,Find.uniform,23,8,51561,644.5125,0,0
10000,Find.uniform,24,8,51402,642.525,0,0
10000,Harness.find-checksum,0,8,9,0.1125,0,0
10000,Harness.find-checksum,1,8,0,0,0,0
10000,Harness.find-checksum,2,8,1,0.0125,0,0
10000,Harness.find-checksum,3,8,1,0.0125,0,0
